,number,value,datetime_start,datetime_complete,duration,params_addNoise,params_decay,params_dropout,params_gainDiv,params_nfft,params_normParam,state
0,0,72.07521057128906,2023-01-06 14:40:10.581077,2023-01-06 15:00:12.091314,0 days 00:20:01.510237,0.00022808873107268716,0.008389825364097155,0.23550345097837594,0.018933896509460677,1024,2,COMPLETE
1,1,48.53333282470703,2023-01-06 15:00:12.113467,2023-01-06 15:17:16.856968,0 days 00:17:04.743501,0.025886848998246916,0.003346348391286313,0.036045820222092614,0.06890867413108241,512,0,COMPLETE
2,2,63.84273910522461,2023-01-06 15:17:16.856968,2023-01-06 15:33:33.157843,0 days 00:16:16.300875,0.0033010088039962635,0.0002802741160305656,0.01432561370848368,0.02199515614041995,512,1,COMPLETE
3,3,85.34017181396484,2023-01-06 15:33:33.157843,2023-01-06 15:50:47.240273,0 days 00:17:14.082430,0.01888917732863548,0.00019700465232391095,0.10261763583329364,0.012086822015242065,512,3,COMPLETE
4,4,90.11282348632812,2023-01-06 15:50:47.256399,2023-01-06 16:08:10.683810,0 days 00:17:23.427411,0.0036404857707174007,0.001492080629195715,0.028970636315685146,0.0004933702243481987,896,5,COMPLETE
5,5,88.62905883789062,2023-01-06 16:08:10.683810,2023-01-06 16:25:35.883798,0 days 00:17:25.199988,0.23093250733626203,0.0003118763387589932,0.2082438243776399,0.000171384858239141,128,9,COMPLETE
6,6,90.68034362792969,2023-01-06 16:25:35.883798,2023-01-06 16:42:35.168718,0 days 00:16:59.284920,0.0004951422424720759,0.0012183448879821497,0.32840229019866346,0.006132578757278047,256,5,COMPLETE
7,7,89.4153823852539,2023-01-06 16:42:35.191844,2023-01-06 16:58:45.237783,0 days 00:16:10.045939,0.3417411006660245,0.003194244361113227,0.12900313776350184,0.0002210536916520804,512,5,COMPLETE
8,8,82.16068267822266,2023-01-06 16:58:45.237783,2023-01-06 17:05:28.528608,0 days 00:06:43.290825,0.0004554501659650979,0.0005359811314876017,0.017491249351478833,0.028592507745562042,384,12,PRUNED
9,9,82.87179565429688,2023-01-06 17:05:28.528608,2023-01-06 17:13:59.824724,0 days 00:08:31.296116,0.0008097269105259974,0.042284588594061,0.4915524240532512,0.07028732845847498,1024,11,PRUNED
10,10,85.12820434570312,2023-01-06 17:13:59.824724,2023-01-06 17:23:12.340630,0 days 00:09:12.515906,0.00011992577387072388,0.020591156465885944,0.38336911860890616,0.0016730737367899708,128,8,PRUNED
11,11,90.85128021240234,2023-01-06 17:23:12.340630,2023-01-06 17:39:23.483547,0 days 00:16:11.142917,0.002325247109939383,0.0011212996560654254,0.04241562871887487,0.0016369122012955407,768,5,COMPLETE
12,12,91.03589630126953,2023-01-06 17:39:23.505179,2023-01-06 17:55:49.702888,0 days 00:16:26.197709,0.0012046984320632022,0.001167373686280421,0.05359077612500359,0.0030077010403973346,768,7,COMPLETE
13,13,85.62734985351562,2023-01-06 17:55:49.725516,2023-01-06 18:03:20.756309,0 days 00:07:31.030793,0.00157286918475932,0.0006592146809556468,0.05734914442518232,0.0016780675672497065,768,7,PRUNED
14,14,85.70939636230469,2023-01-06 18:03:20.756309,2023-01-06 18:10:54.541151,0 days 00:07:33.784842,0.013940687075659916,0.007557989420760548,0.05585291840209858,0.0024594700954547436,768,10,PRUNED
15,15,86.5025634765625,2023-01-06 18:10:54.541151,2023-01-06 18:20:06.003818,0 days 00:09:11.462667,0.005368464848534102,0.00011368107103755969,0.03136074831594881,0.000778352834066426,768,7,PRUNED
16,16,65.14871978759766,2023-01-06 18:20:06.003818,2023-01-06 18:22:44.009973,0 days 00:02:38.006155,0.07317843633225483,0.0015077063547952007,0.010188300835286622,0.0038376697039280024,640,3,PRUNED
17,17,82.4136734008789,2023-01-06 18:22:44.009973,2023-01-06 18:30:15.744687,0 days 00:07:31.734714,0.001630394481567679,0.09311029503451941,0.0888971521771419,0.0006589317718037041,896,6,PRUNED
18,18,89.93504333496094,2023-01-06 18:30:15.744687,2023-01-06 18:47:42.830388,0 days 00:17:27.085701,0.0013871672910066369,0.006898438542152058,0.04280598744767476,0.005894304132878429,640,4,COMPLETE
19,19,83.98632049560547,2023-01-06 18:47:42.843856,2023-01-06 18:54:55.545969,0 days 00:07:12.702113,0.06112457280062408,0.0008497997965051361,0.025308014621106285,0.00039755086050132757,896,7,PRUNED
20,20,79.17264556884766,2023-01-06 18:54:55.545969,2023-01-06 18:57:20.820666,0 days 00:02:25.274697,0.011840516393842903,0.002308848420756672,0.13885642130001238,0.0011916330180837158,640,9,PRUNED
21,21,86.12649536132812,2023-01-06 18:57:20.820666,2023-01-06 19:04:25.535116,0 days 00:07:04.714450,0.0004725872118620923,0.0011256345894448151,0.06889733151243982,0.008130288803584696,256,5,PRUNED
22,22,82.12649536132812,2023-01-06 19:04:25.535116,2023-01-06 19:11:35.452446,0 days 00:07:09.917330,0.00029643430652450233,0.00047317213885426224,0.04941758763945564,0.0044285804688215585,256,6,PRUNED
23,23,77.31965637207031,2023-01-06 19:11:35.452446,2023-01-06 19:14:25.985640,0 days 00:02:50.533194,0.0008536343211761318,0.0022363515577157496,0.2047647507460601,0.002745520072756394,384,4,PRUNED
24,24,77.03247833251953,2023-01-06 19:14:25.985640,2023-01-06 19:16:49.993063,0 days 00:02:24.007423,0.00010727153716657829,0.001103191749233462,0.08458152494656272,0.008799654581772742,768,4,PRUNED
25,25,78.37265014648438,2023-01-06 19:16:49.993063,2023-01-06 19:25:29.548847,0 days 00:08:39.555784,0.002301474432472227,0.004029891171287097,0.020094171931905224,0.0011807754703903957,384,8,PRUNED
26,26,84.28717803955078,2023-01-06 19:25:29.548847,2023-01-06 19:32:29.740094,0 days 00:07:00.191247,0.006101804970879223,0.00041475098440495184,0.28143078266413707,0.0020664516349158525,896,6,PRUNED
27,27,69.23077392578125,2023-01-06 19:32:29.740094,2023-01-06 19:34:55.891618,0 days 00:02:26.151524,0.000833570507409709,0.000143941286897174,0.13133331619775826,0.0055815218435209205,640,3,PRUNED
28,28,71.26837158203125,2023-01-06 19:34:55.891618,2023-01-06 19:37:21.574463,0 days 00:02:25.682845,0.0001929605262444132,0.0018706959640949281,0.04257393193819552,0.04184652005774287,256,8,PRUNED
29,29,67.62393188476562,2023-01-06 19:37:21.574463,2023-01-06 19:40:27.037561,0 days 00:03:05.463098,0.0005940368338413721,0.005500060414957776,0.29960366480660566,0.0001004796165798639,1024,2,PRUNED
30,30,78.8854751586914,2023-01-06 19:40:27.037561,2023-01-06 19:42:51.418444,0 days 00:02:24.380883,0.00023758365470359923,0.0007431120855311256,0.06700173566027261,0.00319784132264269,768,6,PRUNED
31,31,84.83419036865234,2023-01-06 19:42:51.418444,2023-01-06 19:49:50.563473,0 days 00:06:59.145029,0.0032774174486647142,0.012737430390029121,0.03160135186687641,0.00045948929536055865,896,5,PRUNED
32,32,79.24102783203125,2023-01-06 19:49:50.563473,2023-01-06 19:52:22.073601,0 days 00:02:31.510128,0.0031698302729321836,0.0012718942580406173,0.023915213285363723,0.013100069116457972,1024,5,PRUNED
33,33,64.80000305175781,2023-01-06 19:52:22.073601,2023-01-06 19:54:56.295556,0 days 00:02:34.221955,0.004256457882330024,0.002495603152148738,0.037503122876686265,0.0011318623409569061,896,2,PRUNED
34,34,82.69401550292969,2023-01-06 19:54:56.295556,2023-01-06 20:02:27.517309,0 days 00:07:31.221753,0.009935337967485606,0.00432917635889753,0.026796199740662982,0.0003399720023159617,768,4,PRUNED
35,35,40.417091369628906,2023-01-06 20:02:27.517309,2023-01-06 20:05:05.308402,0 days 00:02:37.791093,0.0020408644388479245,0.0008428087427792425,0.015106782117692258,0.0005708858642640547,896,1,PRUNED
36,36,80.0,2023-01-06 20:05:05.308402,2023-01-06 20:07:41.982327,0 days 00:02:36.673925,0.0010812542783630434,0.0002095430303786846,0.048149989656924144,0.0002582876123564228,640,7,PRUNED
37,37,85.62734985351562,2023-01-06 20:07:41.982327,2023-01-06 20:16:51.121025,0 days 00:09:09.138698,0.00035510806386371133,0.0015481783930242831,0.11009678734316974,0.0009952920414286095,512,5,PRUNED
38,38,33.36068344116211,2023-01-06 20:16:51.121025,2023-01-06 20:19:29.283813,0 days 00:02:38.162788,0.00813735416389185,0.00034277220223138976,0.18326810901987847,0.019454873641961728,1024,0,PRUNED
39,39,91.19316101074219,2023-01-06 20:19:29.283813,2023-01-06 20:36:54.428444,0 days 00:17:25.144631,0.04707421549933866,0.0031353232217297025,0.019414132388431433,0.009386253028458405,128,9,COMPLETE
40,40,81.4017105102539,2023-01-06 20:36:54.428444,2023-01-06 20:41:08.468710,0 days 00:04:14.040266,0.03285071975936331,0.014470622285361645,0.01089755910954376,0.011592208808005695,128,10,PRUNED
41,41,78.9059829711914,2023-01-06 20:41:08.468710,2023-01-06 20:43:45.890403,0 days 00:02:37.421693,0.11972467456658523,0.003292974264001497,0.021158302167487226,0.005695682538684743,128,9,PRUNED
42,42,79.9931640625,2023-01-06 20:43:45.890403,2023-01-06 20:47:07.452399,0 days 00:03:21.561996,0.0256203505083459,0.0006084503553400291,0.031895477031541546,0.03212316892324331,256,8,PRUNED
43,43,84.12991333007812,2023-01-06 20:47:07.452399,2023-01-06 20:54:23.267184,0 days 00:07:15.814785,0.002269219775590069,0.0016525320017471115,0.013936294880642141,0.00810837138293757,128,12,PRUNED
44,44,72.77948760986328,2023-01-06 20:54:23.267184,2023-01-06 20:57:13.063600,0 days 00:02:49.796416,0.30468477529823945,0.002686914048066022,0.03777403371621113,0.0018762419087919536,384,6,PRUNED
45,45,91.13846588134766,2023-01-06 20:57:13.063600,2023-01-06 21:13:25.301013,0 days 00:16:12.237413,0.0006583563699836746,0.000996728691436785,0.01777894915099205,0.014994232100610239,768,11,COMPLETE
46,46,82.07862854003906,2023-01-06 21:13:25.317663,2023-01-06 21:17:20.454288,0 days 00:03:55.136625,0.000656225258597056,0.0009410207465610662,0.016594360704494795,0.01564343825521604,768,11,PRUNED
47,47,79.63076782226562,2023-01-06 21:17:20.454288,2023-01-06 21:19:46.335723,0 days 00:02:25.881435,0.000169738635403385,0.0006044313229032518,0.011989396682676842,0.02246051596215388,512,11,PRUNED
48,48,87.45982360839844,2023-01-06 21:19:46.335723,2023-01-06 21:31:19.212367,0 days 00:11:32.876644,0.0012443802441550085,0.001281842609341567,0.017919722983900602,0.0536787567659663,768,10,PRUNED
